player,season,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Antonio Rudiger,2122,56,3986,39,39,3545,39.400000000000006,3,0,3,3,0,0,9,0,2.3,2.3,0.7,3.0,54,188,21,0.09,0.0,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,39.400000000000006,3,53,13,27.1,2.3,0.39,0.06,0.23,19.9,0,0,0,0.05,0.7,0.7,2217,2534,87.5,41765,13323,865,926,93.4,1079,1167,92.5,247,369,66.9,0,0.7,1.5,-0.7,12,219,24,3,188,2534,2462,63,50,7,34,19,13,0,0,0,0,2217,9,18,45,1.33,38,0,0,4,2,1,9,0.27,6,0,0,1,2,0,48,32,29,15,4,36,48,75.0,12,20,11,9,34,76,91,1,2820,211,1014,1521,298,48,2820,12,6,50.0,6,50.0,1782,8886,5212,54,72,3,20,8,2185,21,191,173.7,39,191,38,0,0,1,4.51,77,30,47,2.28,-2.19,57.1,28.1,29.0,0.86,0.6,0,39,14,0,19,34,32,2,0,0,183,56,20,73.7
Bernardo Silva,2122,52,3988,38,35,3050,33.8,10,4,14,10,0,0,6,0,6.7,6.7,6.5,13.2,146,170,277,1.1800000000000002,0.13,1.31,1.1800000000000002,1.31,0.21,0.21,0.42,0.21,0.42,33.8,10,52,21,80.4,3.81,1.53,0.5700000000000001,1.42,12.6,0,0,0,0.14,1.3,1.3,1728,1977,87.4,24552,4453,1027,1113,92.3,543,614,88.4,73,109,67.0,4,6.5,4.0,-2.5,59,106,42,6,170,1977,1887,87,26,6,5,61,28,16,1,0,0,1728,3,32,137,4.32,110,2,10,9,6,0,17,0.54,13,1,0,2,1,0,57,30,19,19,19,31,67,46.3,36,24,2,22,23,77,19,0,2283,36,290,1009,1002,179,2283,92,53,57.6,39,42.4,1552,9305,5010,146,102,34,54,25,1766,277,146,126.4,35,176,29,3,25,5,4.49,81,27,54,2.57,-3.59,69.1,21.4,47.7,1.5,-1.11,0,32,36,11,61,23,30,1,0,0,156,7,15,31.8
Casemiro,2122,58,3984,35,33,2798,31.0,1,3,4,1,0,0,12,0,2.5,2.5,2.8,5.3,23,162,30,0.04,0.11,0.14,0.04,0.14,0.09,0.1,0.19,0.09,0.19,31.0,1,44,11,88.7,2.62,1.11,0.02,0.11,25.1,1,0,0,0.06,-1.5,-1.5,1695,1989,85.2,30880,10039,782,857,91.2,630,743,84.8,227,288,78.8,3,2.8,2.9,0.2,26,194,21,4,162,1989,1929,53,45,9,38,18,3,0,0,0,0,1695,7,19,65,2.28,58,0,1,2,2,2,10,0.35,7,0,0,1,1,1,79,56,45,30,4,30,67,44.8,37,65,19,46,46,117,65,3,2354,156,707,1300,366,29,2354,27,19,70.4,8,29.6,1338,4641,2455,23,23,4,33,14,1608,30,156,151.39999999999998,33,172,24,2,79,2,4.13,57,26,31,1.81,-0.31,50.0,33.3,16.7,0.59,-0.59,0,56,41,4,18,46,56,1,0,0,230,101,50,66.9
Christopher Nkunku,2122,46,3994,40,36,3205,35.7,24,15,39,23,1,1,2,0,16.1,15.3,9.7,25.0,100,117,284,1.41,0.8,2.21,1.38,2.18,0.53,0.32,0.85,0.51,0.83,35.7,24,96,48,108.1,5.48,2.97,0.5,0.93,16.3,8,1,1,0.19,3.9,3.7,813,1037,78.4,11116,2829,452,523,86.4,237,294,80.6,45,80,56.3,15,9.7,10.0,3.3,64,47,60,6,117,1037,979,56,15,12,4,79,11,29,14,6,0,813,2,25,145,4.79,92,9,17,12,13,2,31,1.02,19,0,5,2,4,1,23,11,10,11,2,9,35,25.7,26,23,2,21,19,38,15,0,1396,18,91,535,791,192,1395,99,66,66.7,32,32.3,856,4874,2388,100,55,52,109,50,1093,284,160,173.6,36,176,21,4,63,0,4.38,78,36,42,3.07,0.99,59.0,37.3,21.7,0.72,-0.01,0,36,71,17,79,19,11,3,0,0,103,26,28,48.1
Cristiano Ronaldo,2122,108,5955,32,28,2607,28.9,18,3,21,15,3,4,9,0,17.9,15.6,3.0,18.4,68,66,195,0.66,0.11,0.77,0.55,0.66,1.09,0.28,1.36,1.0,1.28,28.9,18,118,42,66.4,14.32,3.68,0.14,0.38,26.6,8,3,4,0.3,0.0999999999999999,-0.6000000000000001,734,917,141.8,9034,1353,475,549,161.7,175,220,129.8,21,30,169.0,3,3.0,2.0,0.0,27,46,16,0,66,917,879,35,3,2,3,16,7,0,0,0,0,734,3,27,84,8.809999999999999,63,0,9,6,6,0,9,0.33,4,0,2,1,2,0,9,7,1,6,2,3,7,133.3,4,8,0,8,2,11,29,0,1183,30,103,508,580,172,1180,33,21,162.5,12,37.5,638,3301,1767,68,42,37,50,30,963,195,233,129.8,28,208,22,4,59,0,3.63,41,43,-2,-2.94,-4.59,45.099999999999994,39.2,5.8999999999999995,-0.38,-0.4299999999999999,0,17,19,35,16,2,7,2,0,0,54,42,68,38.2
Darwin Nunez,2122,22,1999,28,24,1976,22.0,26,4,30,22,4,4,6,0,18.4,15.2,5.5,20.7,85,38,222,1.18,0.18,1.37,1.0,1.18,0.84,0.25,1.09,0.69,0.94,22.0,26,81,38,46.9,3.69,1.73,0.27,0.58,16.2,2,4,4,0.19,7.6,6.8,293,469,62.5,4329,1005,171,238,71.8,80,133,60.2,25,41,61.0,4,5.5,4.8,-1.5,30,24,22,10,38,469,458,10,2,2,6,51,4,1,0,0,0,293,1,23,71,3.23,46,1,11,9,3,1,13,0.59,7,0,4,1,1,0,14,7,5,5,4,3,10,30.0,7,13,5,8,5,19,15,0,736,19,43,212,496,192,732,78,39,50.0,39,50.0,479,3767,1860,85,31,47,53,26,567,222,71,64.6,24,78,10,4,25,0,2.21,57,18,39,1.78,1.03,49.1,19.9,29.2,1.33,0.37,0,28,29,23,51,5,7,1,0,0,51,26,38,40.6
Dusan Vlahovic,2122,84,8000,43,39,3490,38.8,28,3,31,23,5,6,4,0,18.1,13.4,2.9000000000000004,16.2,33,56,251,3.1799999999999997,0.18,3.3600000000000003,2.94,3.12,1.06,0.18,1.24,0.8400000000000001,1.01,38.8,28,138,59,186.1,16.2,7.61,0.66,1.4500000000000002,31.5,6,5,6,0.24,5.8999999999999995,5.6,424,626,135.10000000000002,7022,1211,207,280,147.2,147,208,141.5,49,65,149.3,3,2.9000000000000004,2.9,0.1,29,24,19,4,56,626,572,52,2,8,5,27,2,0,0,0,0,424,2,31,83,5.050000000000001,57,0,7,11,8,0,13,0.7000000000000001,7,0,1,5,0,0,5,1,0,2,3,2,15,18.2,13,9,2,7,2,6,23,0,1030,30,56,440,546,195,1024,64,31,94.8,33,105.2,608,2497,860,33,24,16,138,70,857,251,314,196.1,39,347,26,4,41,0,8.79,71,45,26,4.0600000000000005,-0.0099999999999997,48.9,36.0,12.9,0.73,-0.21,0,32,80,37,27,2,1,0,0,0,63,59,54,102.3
Erling Haaland,2122,42,4000,26,23,2091,23.2,26,8,34,18,8,8,3,0,17.9,13.2,5.4,18.6,40,41,137,3.04,0.38,3.41,1.75,2.13,0.84,0.25,1.1,0.62,0.88,23.2,26,86,40,116.9,9.49,5.96,0.39,0.74,13.9,0,8,8,0.18,4.1,2.8,331,476,69.5,3628,787,210,266,78.9,70,109,64.2,2,4,50.0,8,5.4,5.0,2.6,23,14,24,1,41,476,416,55,0,3,0,8,3,0,0,0,0,331,5,17,61,2.87,44,0,6,8,3,0,16,0.75,11,0,3,2,0,0,2,1,0,1,1,0,1,0.0,1,8,1,7,1,3,31,0,701,31,52,290,365,149,695,24,13,54.2,11,45.8,334,1437,754,40,15,24,58,16,511,137,170,129.2,23,177,16,3,27,0,3.58,62,40,22,1.94,-1.08,42.2,28.8,13.4,0.63,0.29,0,19,15,16,8,1,1,0,0,0,40,38,27,58.5
Fabinho,2122,54,3986,32,29,2557,28.4,7,1,8,4,3,3,8,0,3.9,2.4,1.3,3.7,18,134,37,0.93,0.04,0.97,0.49,0.53,0.15,0.05,0.2,0.09,0.14,28.4,7,23,9,86.8,2.22,1.01,0.41,0.93,19.9,2,3,3,0.14,1.1,0.6,1350,1550,87.1,21821,5712,676,741,91.2,548,608,90.1,94,135,69.6,1,1.3,1.9,-0.3,16,151,12,1,134,1550,1525,23,23,5,4,6,0,0,0,0,0,1350,2,17,53,2.06,42,0,0,3,6,2,5,0.19,3,0,0,2,0,0,46,27,17,23,6,24,70,34.3,46,33,10,23,40,85,25,1,1788,42,343,1175,281,21,1786,15,11,73.3,4,26.7,942,3953,1874,18,27,1,24,13,1231,37,161,110.3,29,167,23,3,27,1,5.38,69,21,48,3.19,0.14,60.7,23.5,37.2,1.45,0.01,0,42,29,0,6,40,27,0,0,0,193,43,24,64.2
Harry Kane,2122,56,3986,40,38,3464,38.5,20,9,29,16,4,4,5,0,18.6,15.4,9.1,24.5,87,143,212,1.63,0.25,1.88,1.52,1.77,0.52,0.25,0.77,0.43,0.68,38.5,20,137,54,100.5,6.6899999999999995,3.3,0.48,0.87,17.3,8,4,4,0.12,-1.6,-2.4,637,945,67.4,11124,3759,305,397,76.8,197,283,69.6,91,140,65.0,9,9.1,5.5,-0.1,49,89,42,6,143,945,887,47,10,22,13,43,18,0,0,0,0,637,11,43,128,3.56,94,2,10,16,6,0,21,0.58,17,0,1,3,0,0,15,5,2,10,3,7,18,38.9,11,26,8,18,3,18,39,0,1387,51,137,632,639,170,1383,100,54,54.0,46,46.0,891,5061,2208,87,57,31,97,61,1095,212,164,171.8,38,194,37,2,41,0,3.84,72,42,30,2.27,2.17,58.2,36.2,22.0,0.61,0.63,0,44,57,20,43,3,5,0,0,0,92,75,81,48.1
Joshua Kimmich,2122,52,3990,30,30,2609,29.0,3,9,12,3,0,0,4,0,2.3,2.3,8.7,11.0,43,292,53,0.11,0.33,0.44,0.11,0.44,0.08,0.32,0.4,0.08,0.4,29.0,3,29,9,33.3,2.31,0.33,0.11,0.33,24.7,0,0,0,0.09,0.7,0.7,2177,2595,83.9,39188,13899,984,1080,91.1,893,999,89.4,250,406,61.6,9,8.7,10.6,0.3,80,246,56,4,292,2595,2260,318,126,20,16,194,39,153,80,56,2,2177,17,28,155,5.64,81,63,1,3,3,4,24,0.87,9,13,0,0,1,1,39,23,14,17,8,18,58,31.0,40,34,8,26,55,91,29,1,2881,70,553,1630,718,28,2881,41,21,51.2,20,48.8,1566,7978,3641,43,43,1,32,18,1954,53,156,155.8,30,156,25,0,0,0,3.71,85,37,48,1.75,-14.1,71.4,30.9,40.5,1.47,-0.4,0,22,49,1,194,55,23,0,1,0,218,16,18,47.1
Joao Cancelo,2122,54,3988,41,41,3644,40.5,1,7,8,1,0,0,7,0,4.0,4.0,5.4,9.3,125,357,270,0.03,0.2,0.22,0.03,0.22,0.11,0.15,0.26,0.11,0.26,40.5,1,86,23,28.4,3.34,0.64,0.01,0.04,22.0,1,0,0,0.05,-3.0,-3.0,2809,3365,83.5,44538,12620,1610,1732,93.0,938,1130,83.0,208,346,60.1,7,5.4,6.6,1.6,39,308,96,12,357,3365,3019,338,55,21,41,134,282,1,1,0,0,2809,8,59,126,3.51,98,1,8,16,2,1,18,0.5,13,1,1,3,0,0,83,59,33,35,15,46,91,50.5,45,25,3,22,66,142,45,1,3769,67,618,1931,1245,101,3769,106,56,52.8,50,47.2,2411,11313,5785,125,129,36,45,24,2749,270,173,187.1,41,173,38,0,0,1,4.82,104,31,73,3.92,-0.75,80.9,23.7,57.2,1.59,-1.6,0,41,28,3,134,66,59,0,0,0,217,57,51,52.8
Karim Benzema,2122,33,1987,32,31,2593,28.8,27,12,39,20,7,11,0,0,23.7,15.1,7.9,23.0,88,177,252,0.94,0.42,1.35,0.69,1.11,0.83,0.28,1.1,0.52,0.8,28.8,27,117,48,41.0,4.06,1.67,0.17,0.42,16.2,3,7,11,0.13,3.3,4.9,1043,1245,83.8,13822,3030,670,739,90.7,249,290,85.9,56,76,73.7,12,7.9,7.4,4.1,62,76,82,1,177,1245,1175,57,4,6,10,10,2,8,0,0,0,1043,13,30,128,4.45,108,0,12,7,1,0,22,0.77,16,0,5,1,0,0,11,9,5,3,3,2,9,22.2,7,10,0,10,4,15,13,0,1501,15,59,510,942,224,1490,51,36,70.6,15,29.4,976,4819,2440,88,66,41,35,24,1275,252,81,75.8,31,83,18,1,31,1,2.44,65,23,42,1.46,0.7,56.6,28.6,28.0,0.97,1.0,0,13,9,31,10,4,9,0,0,0,44,18,30,37.5
Kevin De Bruyne,2122,60,3982,33,28,2423,27.0,16,11,27,15,1,1,2,0,5.7,5.7,10.4,16.1,84,204,175,1.02,1.55,2.56,0.61,2.16,0.23,0.42,0.66,0.23,0.66,27.0,16,85,33,68.30000000000001,6.029999999999999,2.08,0.19,0.48,19.2,7,1,1,0.07,9.3,9.3,1170,1568,74.6,19948,5365,581,663,87.6,434,558,77.8,122,249,49.0,11,10.4,7.5,-2.4,87,143,65,10,204,1568,1389,169,49,20,19,200,20,96,44,15,3,1170,10,29,152,6.22,105,30,5,9,3,0,14,0.57,10,3,1,0,0,0,32,18,4,15,13,12,37,32.4,25,32,2,30,8,38,16,0,1821,25,127,685,1027,107,1821,55,31,56.4,24,43.6,1126,5397,3213,84,85,20,40,20,1350,175,147,113.7,28,158,17,5,19,5,5.3,75,24,51,5.37,2.68,52.0,17.6,34.4,1.41,-0.78,0,22,28,4,200,8,18,0,0,0,114,11,18,37.9
Kylian Mbappe,2122,44,3996,38,36,3260,36.2,33,17,50,28,5,5,10,0,23.8,20.7,12.6,33.4,210,107,449,2.73,0.51,3.24,2.23,2.74,0.71,0.38,1.08,0.62,0.99,36.2,33,158,65,81.3,9.96,4.04,0.44,1.08,16.9,3,5,5,0.14,4.2,3.3,1139,1435,79.4,15413,2996,715,821,87.1,276,348,79.3,60,101,59.4,17,12.6,9.1,4.4,70,75,58,9,107,1435,1312,115,11,7,16,75,20,47,9,6,1,1139,8,28,181,5.39,115,10,30,13,12,1,40,1.19,21,4,10,1,4,0,11,9,1,4,6,7,13,53.8,6,6,0,6,6,16,13,0,1902,17,48,631,1247,299,1898,205,112,54.6,92,44.9,1416,9443,5202,210,122,103,112,57,1623,449,165,167.4,36,178,26,2,78,0,4.67,92,30,62,4.3,4.5200000000000005,69.9,33.7,36.2,1.08,0.91,0,29,62,41,75,6,9,4,0,0,63,4,10,28.6
Luis Diaz,2122,72,5991,36,31,2697,30.0,18,7,25,18,0,1,2,0,15.6,14.9,8.0,22.9,143,99,313,1.23,0.52,1.75,1.23,1.75,1.06,0.5800000000000001,1.63,1.01,1.58,30.0,18,109,41,107.8,10.58,3.82,0.34,0.8700000000000001,31.799999999999997,1,0,1,0.27,2.4,3.1,928,1127,166.0,13081,2808,575,652,177.2,265,318,167.7,51,65,160.5,7,8.0,5.6,-1.0,59,44,45,8,99,1127,1097,26,2,3,6,36,18,6,0,0,0,928,4,27,152,11.18,109,0,26,13,2,2,17,1.16,11,0,4,2,0,0,21,15,5,11,5,7,21,63.5,14,18,0,18,10,29,8,0,1480,12,68,551,877,220,1479,122,77,126.3,45,73.7,1007,6770,3455,143,57,86,68,45,1150,313,207,120.2,31,256,9,5,48,3,8.07,75,17,58,5.41,0.79,68.1,18.299999999999997,49.7,3.5999999999999996,0.61,0,44,46,12,36,10,15,1,0,0,127,48,46,100.8
Luka Modric,2122,70,3970,30,26,2171,24.1,2,8,10,1,1,1,5,0,2.5,1.7,5.2,6.8,67,221,87,0.09,0.35,0.44,0.04,0.4,0.11,0.23,0.34,0.07,0.3,24.1,2,27,10,38.5,1.7999999999999998,0.44,0.04,0.1,22.0,1,1,1,0.06,-0.5,-0.7,1500,1706,87.9,25207,7617,753,799,94.2,517,571,90.5,165,219,75.3,8,5.2,5.1,2.8,37,188,38,3,221,1706,1587,112,64,11,35,50,12,30,10,7,0,1500,7,28,84,3.72,68,9,3,3,0,1,11,0.49,8,1,0,2,0,0,18,10,8,7,3,6,27,22.2,21,10,4,6,21,38,9,0,1875,18,336,922,631,50,1874,48,32,66.7,16,33.3,1330,6778,3299,67,39,14,30,22,1495,87,143,105.7,26,169,7,4,71,2,3.79,49,22,27,1.2,-1.35,42.0,24.4,17.6,0.78,0.12,0,25,34,1,50,21,10,0,0,0,123,6,14,30.0
Mohamed Salah,2122,58,3984,37,32,2884,32.1,23,13,36,18,5,6,1,0,22.7,17.8,10.0,27.8,125,122,451,0.75,0.42,1.17,0.59,1.01,0.74,0.33,1.07,0.58,0.91,32.1,23,137,50,61.8,7.28,2.34,0.14,0.37,15.8,1,5,6,0.13,0.3,0.2,875,1136,77.0,11516,3063,567,648,87.5,233,309,75.4,29,49,59.2,13,10.0,7.4,3.0,62,46,57,4,122,1136,1112,15,1,18,3,43,7,1,1,0,0,875,9,38,141,4.59,104,0,17,18,2,0,25,0.81,17,0,5,2,1,0,17,8,5,9,3,6,19,31.6,13,7,1,6,7,23,5,0,1552,7,55,455,1056,301,1546,124,53,42.7,71,57.3,1030,5898,2909,125,57,97,99,81,1300,451,140,102.2,32,148,26,5,28,0,4.37,81,24,57,2.56,-0.49,75.7,27.1,48.6,1.58,0.71,0,13,23,14,43,7,8,2,0,0,86,7,33,17.5
Phil Foden,2122,42,4000,32,27,2412,26.8,10,7,17,10,0,0,1,0,9.4,9.4,6.3,15.7,71,98,248,0.7,0.84,1.54,0.7,1.54,0.4,0.27,0.66,0.4,0.66,26.8,10,63,25,88.6,4.3100000000000005,1.88,0.33,0.74,14.5,0,0,0,0.17,-0.4,-0.4,881,1102,79.9,12909,2621,542,595,91.1,235,294,79.9,56,115,48.7,7,6.3,5.3,-1.3,40,50,37,9,98,1102,995,104,19,7,8,139,7,65,32,23,0,881,3,32,89,3.76,63,13,3,7,2,1,13,0.55,8,3,0,2,0,0,16,10,10,4,2,7,17,41.2,10,9,0,9,14,27,5,0,1303,6,66,426,820,137,1303,58,37,63.8,21,36.2,872,4436,1941,71,43,39,48,34,1023,248,147,125.3,27,170,17,5,53,5,4.68,69,20,49,3.72,-0.54,52.4,14.7,37.7,1.59,-0.24,0,18,25,15,139,14,10,0,0,0,83,5,27,15.6
Rafael Leao,2122,44,3998,38,34,2890,32.1,13,11,24,13,0,0,4,0,8.8,8.8,6.8,15.5,161,101,218,1.01,0.6699999999999999,1.68,1.01,1.68,0.3,0.23,0.54,0.3,0.54,32.1,13,107,44,99.2,6.51,3.2,0.31,0.62,19.0,0,0,0,0.09,2.2,2.2,555,787,70.5,9136,2681,284,368,77.2,187,244,76.6,60,84,71.4,11,6.8,4.9,3.2,45,46,48,12,101,787,759,21,3,4,9,67,14,2,0,0,0,555,7,38,113,3.9,65,0,28,9,11,0,19,0.66,13,0,5,0,1,0,17,9,3,9,5,10,20,50.0,10,12,1,11,12,29,8,0,1166,12,58,434,707,172,1166,163,98,60.1,65,39.9,808,7959,4496,161,109,69,71,50,914,218,148,149.3,34,155,13,4,101,1,4.07,60,23,37,2.12,1.68,46.3,24.1,22.3,0.77,0.6,0,26,51,8,67,12,9,2,0,0,99,28,37,43.1
